knihy_id;osoby_id;oddeleni_id;Attribute:exemplare_id;poznamka
874;377;2;4;
69;401;3;38;
533;154;3;47;
258;431;2;56;
684;145;2;62;
90;206;3;69;
1202;377;3;75;
84;442;1;84;
260;272;1;86;Zamluvená
449;566;1;92;
254;469;2;121;
363;255;1;127;
1512;48;2;134;
1408;505;1;143;
380;277;3;144;
60;496;1;154;
185;383;2;159;
1172;145;2;163;
1368;526;4;166;
208;317;3;167;
795;327;1;168;
1529;107;2;174;
1092;98;1;188;
931;300;2;193;
1433;259;2;210;
1513;154;3;213;
590;411;3;225;
1394;287;4;259;
1093;142;1;269;
1359;2;1;270;
1082;415;6;271;
56;472;4;274;
1087;118;4;280;
1360;206;3;294;
554;6;2;322;
1103;507;4;328;
646;195;2;329;
1507;71;1;339;
947;74;2;344;
175;115;2;348;
768;116;3;353;
536;386;1;383;
1440;392;6;410;
233;540;1;419;K dispozici jen prezenčně
654;182;4;422;
586;24;2;423;
993;148;6;427;
532;530;1;430;K dispozici jen prezenčně
1295;118;2;431;
6;519;1;434;
201;335;4;437;
517;217;1;442;
1431;289;1;452;
1260;553;1;467;
1066;413;2;468;
1527;505;2;475;
351;69;6;477;
801;441;3;501;
1155;312;4;513;
263;515;1;523;
875;195;4;528;
1383;339;2;536;
755;82;1;563;
139;113;2;571;
539;169;1;575;
364;283;2;583;
179;513;2;584;
1236;401;3;600;
44;519;1;611;
742;283;2;613;
1128;230;2;627;
364;457;3;646;
1170;520;4;651;
1078;526;4;669;
687;306;1;675;
268;50;3;678;
84;143;4;680;
715;81;4;681;
902;207;2;684;
512;541;3;687;
807;104;6;690;
746;206;3;708;
1184;144;6;725;
394;182;4;731;
244;118;4;732;
1021;413;2;735;
211;413;2;756;
1419;542;4;775;
160;134;2;789;
204;484;4;795;
851;439;4;803;
1018;202;1;809;
1153;295;6;826;
663;402;1;833;
1409;414;3;848;
144;470;2;851;
522;440;4;862;
577;489;5;879;Poškozená vazba
406;565;1;880;
566;526;4;887;
200;408;1;891;
364;275;2;898;
618;69;6;912;
1177;74;2;917;
271;91;2;936;
1403;280;2;942;Poškozená vazba
383;229;2;968;
683;479;4;974;
486;312;4;975;
360;361;3;980;
993;374;1;1001;
13;335;4;1013;
812;231;5;1024;
852;514;4;1025;
736;337;1;1042;
1436;136;1;1044;
1347;280;2;1045;Fotokopie originálu
1529;131;3;1048;
532;113;2;1061;
90;410;1;1063;
572;403;1;1072;
1259;230;2;1080;
1519;177;3;1092;
1217;481;3;1098;
211;130;2;1101;
449;183;2;1104;
30;129;3;1106;
362;204;3;1122;
457;436;1;1126;
978;531;2;1133;
357;510;1;1173;
383;395;6;1175;
430;265;2;1179;
925;165;3;1184;
553;134;2;1192;
778;563;1;1193;
683;247;6;1204;
359;450;1;1216;
297;385;6;1247;
232;143;4;1264;
742;469;2;1271;
531;118;4;1273;
99;469;2;1296;
1184;335;4;1302;
1258;431;2;1305;
886;356;2;1308;
106;129;3;1311;
887;470;2;1313;
74;136;1;1322;
686;411;3;1327;
145;154;3;1334;
588;201;2;1352;
1316;143;4;1358;
1511;188;1;1359;
1441;514;4;1361;
268;549;6;1371;
621;134;2;1375;
1334;157;1;1376;
1051;383;2;1380;
123;283;2;1383;
1521;230;2;1398;
1052;39;6;1400;
1013;248;2;1413;
1530;5;1;1416;
1400;275;2;1431;Chybí některé strany
716;311;5;1432;
958;361;3;1443;
42;195;2;1446;
1090;226;3;1455;
743;514;4;1462;
498;524;3;1472;
1298;439;4;1483;Salátové vydání
532;413;2;1490;
1440;134;2;1498;Poškozená vazba
666;230;2;1512;
424;14;2;1513;
355;386;1;1518;
682;440;4;1524;
929;107;4;1534;
786;88;1;1537;
1372;245;2;1543;
428;423;1;1559;
345;531;2;1574;
1530;488;2;1575;
850;513;2;1582;
840;484;4;1586;
1212;534;1;1594;
496;266;3;1601;
1169;287;4;1606;
36;219;6;1610;
1486;207;2;1643;
92;513;3;1663;
569;400;3;1669;
827;368;3;1672;Fotokopie originálu
764;177;3;1684;
1267;412;5;1719;
566;336;4;1721;
1360;88;1;1724;
1170;105;2;1728;Poškozená vazba
1025;47;2;1732;
664;278;4;1740;
1071;205;4;1750;
259;87;2;1753;
949;270;4;1767;
664;19;2;1789;
214;146;6;1790;
1296;266;3;1796;
405;195;2;1806;
629;479;4;1809;K dispozici jen prezenčně
