id_knihy;isbn;nazev;pocet_stran;rok_vydani;misto_vydani;nakladatel;vydani;druhy_id;jazyky_id;autor;edice
4;1-85032-167-1;An Introduction to Neural Computing;21;1995;London;International Thomson Computer Press;2;1;2;Aleksander, Igor -- Morton, Helen;
5;80-251-0370-6;Moderní programování v C++ : návrhové vzory a generické programování v praxi;340;2004;Brno;Computer Press;1;1;1;Alexandrescu, Andrei;
6;0-201-73723-X;The CERT guide to system and network security practices;447;2001;Boston, MA;Addison-Wesley;;1;2;Allen, Julia H.;SEI series in software engineering
9;80-85896-72-9;Mistrovství v CorelDRAW 6;32;1996;Praha;Computer Press;1;1;1;Altman, Rick;
13;80-7178-804-X;Úvod do filosofie;384;2004;Praha;Portál;2;1;1;Anzenbacher, Arno;
15;80-247-0301-7;Myslíme v jazyku C# : knihovna programátora;307;2002;Praha;Grada;1;1;1;Archer, Tom;Myslíme v--
22;0-07-709233-3;Information Systems Development: Methodologies, Techniques and Tools;15;1995;London;The McGraw-Hill Comp.;2;1;2;Avison, David E. -- Fitzgerald, G.;Information Systems Series
25;80-200-0470-X;Teorie množin;462;2001;Praha;Academia;2;1;1;Balcar, Bohuslav -- Štěpánek, Petr;
29;80-86324-27-3;e-Learning ve vzdělávání dospělých;173;2003;Praha;VOX;;1;1;Barešová, Andrea;Konference
30;1-57870-264-X;Writing information security policies;216;2002;Indianapolis, IN;New Riders;;1;2;Barman, Scott;
31;1-58705-283-0;Cisco LAN switching fundamentals;;2006;;;;2;2;Barnes, David -- Sakandar, Basir;
32;0-321-32128-6;Preventing web attacks with Apache;582;2006;Upper Saddle River, N.J.;Addison-Wesley;;1;2;Barnett, Ryan C;
36;80-204-0607-7;Matematické vzorce;831;2002;Praha;Mladá fronta;3;1;1;Bartsch, Hans-Jochen;
38;80-247-0214-2;Podnikové informační systémy: Podnik v informační společnosti;142;2002;Praha;Grada;1;1;1;Basl, Josef;
40;0-534-94579-1;Fuzzy Systems Toolbox for use with Matlab;;1994;Boston, MA;PWS Publishing Comp.;;1;2;Beale, Mark -- Demuth, Howard;
42;80-86419-79-7;Informační systémy pro podporu manažerské práce;223;2005;Praha;Professional Publishing;1;1;1;Bébr, Richard -- Doucek, Petr;
44;80-247-0901-5;Programování řízené testy;203;2004;Praha;Grada;1;1;1;Beck, Kent;Moderní programování
45;1-85032-169-8;Neural Networks for Economic and Financial Modelling;13;1996;London;International Thomson Computer Press;;1;2;Beltratti, Andrea -- Margarita, Sergio;
46;978-0-470-84349-9;Geosimulation : automata-based modelling of urban phenomena;287;2004;Hoboken, N.J.;John Wiley & Sons;;1;1;Benenson, Itzhak -- Torrens, Paul M;
47;;Aktualizovaný typografický manuál;1;2003;Praha;Kafka design;3;1;1;Beran, Vladimír;
