knihy_id;vyrazy_id
13;541
13;542
13;543
13;544
13;545
29;80
29;183
31;88
31;324
31;325
32;24
32;26
36;227
42;97
42;150
42;209
44;21
44;285
44;286
44;287
44;288
46;148
46;149
49;62
49;318
49;319
56;1
56;2
56;91
56;135
56;136
58;27
58;28
58;29
60;82
60;84
60;133
60;429
60;435
74;20
74;47
74;70
89;121
89;122
90;121
90;122
91;310
91;311
91;312
91;313
94;26
94;133
99;146
99;271
99;373
99;374
100;55
100;436
110;146
110;373
111;88
111;324
113;201
113;202
129;32
129;82
129;483
142;26
142;269
142;358
142;369
142;424
143;32
143;369
143;424
146;44
146;328
159;296
166;67
166;72
166;73
169;57
169;97
171;477
171;501
171;505
171;506
180;206
180;462
182;119
182;157
185;180
186;180
186;238
192;33
192;34
197;85
197;86
197;371
197;420
202;200
206;123
206;124
213;32
213;497
213;498
213;499
214;477
214;478
214;479
218;20
218;66
221;43
221;265
224;98
224;400
224;401
227;56
227;304
228;76
228;171
230;176
230;260
230;397
230;398
230;399
233;42
233;225
233;343
233;344
239;27
239;173
244;162
244;284
246;27
246;171
258;26
258;68
258;112
260;26
260;356
260;392
277;216
278;60
278;185
278;186
278;187
278;188
278;189
278;190
290;208
290;243
290;244
290;245
292;49
292;154
292;155
292;156
313;54
313;71
316;137
316;138
316;139
319;468
319;469
323;180
323;421
331;88
331;299
331;300
331;301
334;55
334;59
334;574
364;163
364;223
364;224
364;225
370;55
370;58
370;170
370;241
370;242
373;57
373;533
373;534
376;44
376;56
376;58
376;467
379;324
379;389
379;390
379;391
379;392
382;42
382;43
384;306
394;393
394;394
399;70
399;171
400;70
400;171
405;20
405;21
406;113
406;116
406;118
406;119
408;163
409;161
409;405
409;406
409;408
413;146
413;147
423;292
423;293
441;26
441;68
441;112
450;21
450;444
454;26
454;70
454;71
456;207
456;245
456;349
456;350
456;351
456;352
457;208
457;236
457;352
457;460
460;88
460;133
460;205
460;206
460;207
484;101
484;143
484;144
486;352
486;457
486;458
508;143
509;215
509;216
517;163
522;196
