exemplare_id;datum_pujceni;vratit_do;osoby_id;skutecne_vraceno;poznamka;vypujcky_id
5701;19.01.2025;16.02.2025;160;07.02.2025;;22
9285;25.01.2025;30.01.2025;491;31.01.2025;;120
9491;25.01.2025;28.02.2025;494;22.02.2025;;123
3739;27.01.2025;28.02.2025;195;21.02.2025;;185
5875;28.01.2025;25.02.2025;473;15.02.2025;Zapùjèeno pro bakaláøskou práci;203
4366;31.01.2025;14.02.2025;117;10.02.2025;k habilitaci;257
5532;03.02.2025;17.02.2025;450;16.02.2025;;316
7108;07.02.2025;09.03.2025;181;22.02.2025;;368
8781;07.02.2025;13.02.2025;78;13.02.2025;;371
430;08.02.2025;19.03.2025;426;02.03.2025;K diplomové práci;395
10943;09.02.2025;02.03.2025;270;28.02.2025;;407
10305;11.02.2025;19.03.2025;2;05.03.2025;;435
3107;12.02.2025;01.03.2025;435;25.02.2025;;444
10569;14.02.2025;18.03.2025;411;02.03.2025;studijní materiál;472
8236;18.02.2025;31.03.2025;287;20.03.2025;;505
7858;18.02.2025;25.03.2025;437;11.03.2025;Pro BP;508
9479;19.02.2025;25.02.2025;14;27.02.2025;Pro BP;534
8996;19.02.2025;27.02.2025;32;28.02.2025;;541
2365;21.02.2025;26.02.2025;402;26.02.2025;;559
9880;21.02.2025;15.03.2025;145;01.03.2025;;567
3724;23.02.2025;18.03.2025;46;07.03.2025;;601
10600;23.02.2025;11.03.2025;431;06.03.2025;Urèeno pro seminární práci.;607
8781;25.02.2025;06.03.2025;245;06.03.2025;Pro BP;668
10924;04.03.2025;26.03.2025;332;23.03.2025;;771
3732;04.03.2025;13.03.2025;517;13.03.2025;;780
11420;06.03.2025;26.03.2025;534;18.03.2025;;796
9633;09.03.2025;04.04.2025;471;20.03.2025;;816
10447;09.03.2025;05.04.2025;96;24.03.2025;Pokud ji nevrátí v termínu, nedostane zápoèet.;818
7491;09.03.2025;07.04.2025;217;30.03.2025;K diplomové práci;825
9195;12.03.2025;28.04.2025;191;09.04.2025;do výuky;864
9684;14.03.2025;07.04.2025;339;28.03.2025;;882
10971;15.03.2025;18.03.2025;66;19.03.2025;;903
10257;16.03.2025;04.04.2025;113;03.04.2025;;927
3487;16.03.2025;26.03.2025;134;27.03.2025;;940
2397;20.03.2025;01.04.2025;292;30.03.2025;;1023
2145;30.03.2025;14.04.2025;337;15.04.2025;;1131
1106;30.03.2025;04.04.2025;27;05.04.2025;;1143
6976;31.03.2025;07.04.2025;91;09.04.2025;;1153
10100;01.04.2025;23.04.2025;334;08.04.2025;;1191
4622;03.04.2025;18.05.2025;180;03.05.2025;;1237
